,model,p_value,test_statistic,significance_level
0,GPT-5-Nano,0.30733461148575386,1.0420955125566076,
1,GPT-5-mini,0.0027305726308273024,8.979286422200207,**
2,GPT-4.1-Nano,0.3518727614323669,0.8666919000757006,
3,GPT-4.1-mini,0.10285353336868581,2.6607298001737663,
4,GPT-OSS-120b,0.2598008508092624,1.2698178664353834,
5,GPT-OSS-20b,0.9682292583802538,0.0015863689776732957,
6,Llama-3.3-70B-Instruct,0.5085263289612325,0.4370982766651116,
7,Llama-3.1-8B-Instruct,0.9349814952774423,0.006655134455103028,
8,Llama-3.2-3B-Instruct,0.1996733915575384,1.644761717211498,
9,Llama-3.2-1B-Instruct,0.6370791792007873,0.22258251302837415,
10,gemini-2.5-flash,0.05039179622854596,3.8283739837398376,
11,gemini-2.5-flash-lite,0.00840335565044287,6.945431668602398,**
12,gemma-3-27b-it,0.9857334731219808,0.0003197442046362319,
13,gemma-3-12b-it,0.2538276793652734,1.3021126760563349,
14,gemma-3-4b-it,0.35542626902395547,0.8539891556932611,
15,gemma-3-1b-it,0.19887071040302748,1.6506483482556362,
16,gemma-3-270m-it,0.035112995136662446,4.439671886651743,*
17,Mistral-Large-Instruct-2411,0.04123973262955456,4.166136687233033,*
18,Mistral-Small-3.2-24B-Instruct-2506,0.0013779110384816685,10.235127288968295,**
19,Ministral-8B-Instruct-2410,0.11339249968428386,2.5062913907284723,
20,Qwen3-235B-A22B-Instruct-2507,0.9963282294242158,2.1177467174923472e-05,
21,Qwen3-30B-A3B-Instruct-2507,0.7165305012955134,0.13184130213631803,
22,Qwen3-4B-Instruct-2507,0.8884424463802407,0.019677171406610686,
